LGA_NAME21,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Tenterfield,2.664477249,10,60.07224127,0,74.03734477,4,0,88,0,0.030278151,F,0.113636364,F,0.682639105,B,0,F,0.841333463,A,0.030278151,F,0.398137734,D,0.420666732,D
The Hills Shire,0.799634384,13,56.16923881,0,59.79565607,1,0,69,0,0.011588904,F,0.188405797,E,0.814046939,B,0,F,0.866603711,A,0.011588904,F,0.501226368,C,0.433301856,D
Three Springs,0.347024323,4,14.00588366,0,28.95231393,0,0,36,0,0.009639565,F,0.111111111,F,0.389052324,D,0,F,0.804230942,B,0.009639565,F,0.250081718,E,0.402115471,D
Tiwi Islands,0.415106598,10,22.80285116,0,28.51261958,0,0,33,0,0.012578988,F,0.303030303,E,0.69099549,B,0,F,0.864018775,A,0.012578988,F,0.497012896,D,0.432009388,D
Toodyay,0.230374838,4,14.14970941,0,21.43233605,3,0,25,0,0.009214994,F,0.16,F,0.565988376,C,0,F,0.857293442,A,0.009214994,F,0.362994188,D,0.428646721,D
Toowoomba,1.144210509,7,45.22101481,0,58.91295786,1,0,67,0,0.017077769,F,0.104477612,F,0.67494052,B,0,F,0.879297879,A,0.017077769,F,0.389709066,D,0.439648939,D
Torres,0.315373929,7,28.27586956,0,27.78339539,0,0,33,0,0.009556786,F,0.212121212,E,0.856844532,A,0,F,0.841921072,A,0.009556786,F,0.534482872,C,0.420960536,D
Torres Strait Island,0.071523862,7,19.01226442,0,18.27918886,0,0,22,0,0.003251085,F,0.318181818,E,0.864193837,A,0,F,0.830872221,B,0.003251085,F,0.591187828,C,0.41543611,D
Townsville,1.781195388,10,45.671231,0,43.85418396,1,0,52,0,0.034253757,F,0.192307692,E,0.878292904,A,0,F,0.843349691,A,0.034253757,F,0.535300298,C,0.421674846,D
Towong,1.418309016,9,38.66433219,0,37.10831556,1,0,44,0,0.032234296,F,0.204545455,E,0.878734822,A,0,F,0.843370808,A,0.032234296,F,0.541640138,C,0.421685404,D
Trayning,0.042686385,2,7.885095458,0,10.31620712,0,0,12,0,0.003557199,F,0.166666667,F,0.657091288,C,0,F,0.859683927,A,0.003557199,F,0.411878977,D,0.429841963,D
Tumby Bay,0.863603627,4,26.65116156,0,30.01595325,0,0,36,0,0.02398899,F,0.111111111,F,0.740310043,B,0,F,0.833776479,A,0.02398899,F,0.425710577,D,0.41688824,D
Tweed,1.932498109,15,76.60028708,0,82.57442192,1,0,98,0,0.019719368,F,0.153061224,F,0.781635582,B,0,F,0.842596142,A,0.019719368,F,0.467348403,D,0.421298071,D
Unincorp. Other Territories,1.28960503,13,66.28623087,0,83.56584333,2,0,110,0,0.011723682,F,0.118181818,F,0.602602099,C,0,F,0.759689485,B,0.011723682,F,0.360391959,D,0.379844742,D
Unincorporated ACT,0.575601414,13,46.48986906,0,47.00390129,2,0,58,0,0.009924162,F,0.224137931,E,0.801549467,B,0,F,0.810412091,B,0.009924162,F,0.512843699,C,0.405206046,D
Unincorporated NSW,0.969529915,15,78.30682908,0,76.15788404,1,0,95,0,0.010205578,F,0.157894737,F,0.824282411,B,0,F,0.801661937,B,0.010205578,F,0.491088574,D,0.400830969,D
