Elect_div,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,num_sp_endemic,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Tangney,0.542763729,8,33.27352725,0,31.38654061,0,0,0,40,0,0.013569093,F,0.2,E,0.831838181,B,0,F,0.784663515,B,0.013569093,F,0.515919091,C,0.392331758,D
Wannon,0.636511448,20,86.10872538,0,97.58322593,1,1,8,115,0,0.005534882,F,0.173913043,E,0.748771525,B,0,F,0.848549791,A,0.005534882,F,0.461342284,D,0.424274895,D
Warringah,1.703711009,12,56.5488834,0,52.89122904,1,0,0,64,0,0.026620485,F,0.1875,E,0.883576303,A,0,F,0.826425454,B,0.026620485,F,0.535538152,C,0.413212727,D
Watson,0.225686967,10,43.42759718,0,40.48728915,1,0,0,48,0,0.004701812,F,0.208333333,E,0.904741608,A,0,F,0.843485191,A,0.004701812,F,0.556537471,C,0.421742595,D
Wentworth,1.229748398,11,48.44822662,0,45.02475725,1,0,0,53,0,0.0232028,F,0.20754717,E,0.914117483,A,0,F,0.849523722,A,0.0232028,F,0.560832327,C,0.424761861,D
Werriwa,0.278499429,8,32.40175742,0,32.94149895,1,0,0,39,0,0.007141011,F,0.205128205,E,0.830814293,B,0,F,0.844653819,A,0.007141011,F,0.517971249,C,0.42232691,D
Whitlam,2.381115137,17,82.13566479,0,84.09148914,3,0,0,99,0,0.024051668,F,0.171717172,E,0.82965318,B,0,F,0.849408981,A,0.024051668,F,0.500685176,C,0.424704491,D
Wide Bay,1.412272146,15,72.33346126,0,80.8918019,1,0,5,95,0,0.014866023,F,0.157894737,F,0.761404855,B,0,F,0.851492652,A,0.014866023,F,0.459649796,D,0.425746326,D
Wills,0.120835337,6,19.37868997,0,20.48758915,0,0,0,25,0,0.004833413,F,0.24,E,0.775147599,B,0,F,0.819503566,B,0.004833413,F,0.507573799,C,0.409751783,D
Wright,1.917547826,14,81.7174939,0,99.87948724,1,0,2,114,0,0.016820595,F,0.122807018,F,0.716820122,B,0,F,0.876135853,A,0.016820595,F,0.41981357,D,0.438067926,D
